,State,Year,Quarter,District,count,amount
99,tripura,2021,3,north tripura district,210698,454116633.31926054
100,tripura,2021,3,dhalai district,167446,368906160.1985531
101,tripura,2021,3,south tripura district,186827,414556972.4847057
102,tripura,2021,3,gomati district,166441,372982272.5022316
103,tripura,2021,3,west tripura district,960039,1895464982.709153
104,tripura,2021,2,unakoti district,88092,174170768.10130727
105,tripura,2021,2,khowai district,81845,164265842.95334023
106,tripura,2021,2,sepahijala district,166437,361358159.019094
107,tripura,2021,2,north tripura district,176067,351155989.2912202
108,tripura,2021,2,dhalai district,138998,278586073.4183272
109,tripura,2021,2,south tripura district,171713,365935947.9664031
110,tripura,2021,2,gomati district,148554,309610328.7995062
111,tripura,2021,2,west tripura district,772723,1463071251.4870775
112,tripura,2021,1,unakoti district,68925,161256237.6246628
113,tripura,2021,1,khowai district,71155,160906168.90000182
114,tripura,2021,1,sepahijala district,141426,365525453.40613097
115,tripura,2021,1,north tripura district,143060,318074681.762841
116,tripura,2021,1,dhalai district,116945,274079611.2937597
117,tripura,2021,1,south tripura district,150265,357643996.07881093
118,tripura,2021,1,gomati district,127271,295815100.00755715
119,tripura,2021,1,west tripura district,692376,1402040320.719656
120,tripura,2021,4,unakoti district,130201,289484907.9042663
121,tripura,2021,4,khowai district,111589,254808204.6481812
122,tripura,2021,4,sepahijala district,233920,570421104.1824098
123,tripura,2021,4,north tripura district,255959,590088928.3209249
124,tripura,2021,4,dhalai district,194907,448039146.77420795
125,tripura,2021,4,south tripura district,219422,560735150.0701383
126,tripura,2021,4,gomati district,200196,454492828.75278926
127,tripura,2021,4,west tripura district,1174499,2328859193.6465282
128,tripura,2022,3,unakoti district,179593,406385690.1014518
129,tripura,2022,3,khowai district,164425,363263351.2108836
130,tripura,2022,3,sepahijala district,358452,818757042.968861
131,tripura,2022,3,north tripura district,400198,829909312.3103282
132,tripura,2022,3,dhalai district,287101,618208457.2771137
133,tripura,2022,3,south tripura district,286379,682522212.5858632
134,tripura,2022,3,gomati district,294377,612183432.8798862
135,tripura,2022,3,west tripura district,2286054,4317123305.576752
136,tripura,2022,2,unakoti district,168534,380245834.42516845
137,tripura,2022,2,khowai district,147470,314663693.9199481
138,tripura,2022,2,sepahijala district,301211,703075146.3196069
139,tripura,2022,2,north tripura district,347933,745615506.6452613
140,tripura,2022,2,dhalai district,258585,545900041.1491123
141,tripura,2022,2,south tripura district,270412,649809730.8825212
142,tripura,2022,2,gomati district,269581,581885804.1766024
143,tripura,2022,2,west tripura district,1654938,2957075284.517075
144,tripura,2022,1,unakoti district,148265,349475550.5366119
145,tripura,2022,1,khowai district,124989,289652618.573128
146,tripura,2022,1,sepahijala district,257586,636388326.2869308
147,tripura,2022,1,north tripura district,310764,699778044.1822658
148,tripura,2022,1,dhalai district,216216,501758621.1580514
149,tripura,2022,1,south tripura district,242720,632737978.7888881
150,tripura,2022,1,gomati district,230019,517368490.15875137
151,tripura,2022,1,west tripura district,1340631,2620170134.665219
152,tripura,2022,4,unakoti district,292384,653255260.7593155
153,tripura,2022,4,khowai district,172992,374619180.93378747
154,tripura,2022,4,sepahijala district,352709,784953776.7829857
155,tripura,2022,4,north tripura district,460914,940748505.5593312
156,tripura,2022,4,dhalai district,289984,592125895.8754389
157,tripura,2022,4,south tripura district,318517,743429832.5489745
158,tripura,2022,4,gomati district,303790,606245959.1360532
159,tripura,2022,4,west tripura district,3006900,5757593406.558215
160,assam,2019,3,tinsukia district,196245,357008533.5524102
161,assam,2019,3,lakhimpur district,115808,182745177.30235583
162,assam,2019,3,kamrup district,222439,383883901.2477784
163,assam,2019,3,kokrajhar district,77004,153786698.22127867
164,assam,2019,3,karbi anglong district,83280,173411321.7054668
165,assam,2019,3,sivasagar district,101503,160505383.6038673
166,assam,2019,3,dibrugarh district,230118,425077484.1305032
167,assam,2019,3,south salmara mancachar district,32727,72591552.54102534
168,assam,2019,3,nagaon district,258566,491551326.21533215
169,assam,2019,3,dhubri district,115968,235503727.27269614
170,assam,2019,3,golaghat district,121795,194779142.64060068
171,assam,2019,3,udalguri district,69169,133441413.33037564
172,assam,2019,3,majuli district,19170,22241164.406410635
173,assam,2019,3,sonitpur district,257623,533288953.0348954
174,assam,2019,3,hojai district,84120,154505233.54100534
175,assam,2019,3,marigaon district,116364,242626706.43637043
176,assam,2019,3,chirang district,45161,87808950.14199197
177,assam,2019,3,cachar district,242781,426502976.7731471
178,assam,2019,3,nalbari district,82814,133051985.19050579
179,assam,2019,3,west karbi anglong district,14546,17754122.575145133
180,assam,2019,3,dhemaji district,90986,171587706.61930138
181,assam,2019,3,karimganj district,96450,167756855.41726434
182,assam,2019,3,bongaigaon district,104703,184020775.95802072
183,assam,2019,3,dima hasao district,41878,80649915.50275356
184,assam,2019,3,baksa district,92868,175122110.84885266
185,assam,2019,3,charaideo district,59490,103441007.08569291
186,assam,2019,3,darrang district,90156,171891466.67902952
187,assam,2019,3,kamrup metropolitan district,2188998,6080999088.202992
188,assam,2019,3,hailakandi district,62134,95753332.8367396
189,assam,2019,3,barpeta district,262253,505242250.25981045
190,assam,2019,3,goalpara district,119928,234306376.69394106
191,assam,2019,3,biswanath district,78058,123277846.06646207
192,assam,2019,3,jorhat district,167468,274329134.3924885
193,assam,2019,2,tinsukia district,148294,323303192.86631006
194,assam,2019,2,lakhimpur district,88545,154536738.9259897
195,assam,2019,2,kamrup district,176995,334724712.0725308
196,assam,2019,2,kokrajhar district,58445,136120566.46937045
197,assam,2019,2,karbi anglong district,62877,150114998.0486763
198,assam,2019,2,sivasagar district,74192,134981544.55457747
199,assam,2019,2,dibrugarh district,169357,356524668.62132466
200,assam,2019,2,south salmara mancachar district,32449,69876713.5681054
201,assam,2019,2,nagaon district,231423,422774561.3600137
202,assam,2019,2,dhubri district,101070,201203482.8078656
203,assam,2019,2,golaghat district,89403,157511569.7769561
204,assam,2019,2,udalguri district,51326,108912182.9417754
205,assam,2019,2,majuli district,13800,17825869.547913164
206,assam,2019,2,sonitpur district,192707,444337498.7727274
207,assam,2019,2,hojai district,63598,125015617.43164451
208,assam,2019,2,marigaon district,130459,235342996.58975655
209,assam,2019,2,chirang district,31621,65747046.11911234
210,assam,2019,2,cachar district,177976,335126276.2091832
211,assam,2019,2,nalbari district,64729,108268162.20079285
212,assam,2019,2,west karbi anglong district,10260,15373392.65586704
213,assam,2019,2,dhemaji district,66560,150306788.81401327
214,assam,2019,2,karimganj district,70635,144404980.60717523
215,assam,2019,2,bongaigaon district,80689,155642822.44107914
216,assam,2019,2,dima hasao district,28118,57300032.732904054
217,assam,2019,2,baksa district,70162,150019543.78537178
218,assam,2019,2,charaideo district,45010,85061629.87310517
219,assam,2019,2,darrang district,70387,140869866.57193547
220,assam,2019,2,kamrup metropolitan district,2488968,5089657876.792284
221,assam,2019,2,hailakandi district,47321,79845847.4735592
222,assam,2019,2,barpeta district,228864,466786096.3962827
223,assam,2019,2,goalpara district,97473,201643499.0041993
224,assam,2019,2,biswanath district,61472,103930302.37445727
225,assam,2019,2,jorhat district,129744,231878110.7193352
226,assam,2019,1,tinsukia district,147896,296016100.5028683
227,assam,2019,1,lakhimpur district,84448,135217192.88448116
228,assam,2019,1,kamrup district,205094,325387078.1294668
229,assam,2019,1,kokrajhar district,60413,133213397.36930162
230,assam,2019,1,karbi anglong district,62301,127716945.67539394
231,assam,2019,1,sivasagar district,73524,126028482.89568174
232,assam,2019,1,dibrugarh district,180303,308520050.14443624
233,assam,2019,1,south salmara mancachar district,36980,56376266.78267565
234,assam,2019,1,nagaon district,265767,382986937.00269973
235,assam,2019,1,dhubri district,129363,168832530.51137578
236,assam,2019,1,golaghat district,87815,150699869.58634305
237,assam,2019,1,udalguri district,57339,103343677.3304387
238,assam,2019,1,majuli district,15485,17616797.703198176
239,assam,2019,1,sonitpur district,197716,409811805.46215415
240,assam,2019,1,hojai district,61983,111715019.69069499
241,assam,2019,1,marigaon district,162645,225891536.78995085
242,assam,2019,1,chirang district,32379,57539957.793235525
243,assam,2019,1,cachar district,206705,335675210.43395036
244,assam,2019,1,nalbari district,70290,94533334.09474775
245,assam,2019,1,west karbi anglong district,11141,12368112.989129752
246,assam,2019,1,dhemaji district,69519,134956449.74452934
247,assam,2019,1,karimganj district,76238,140750684.4913983
248,assam,2019,1,bongaigaon district,91061,138479281.39115623
249,assam,2019,1,dima hasao district,26119,51318304.483347006
250,assam,2019,1,baksa district,75377,147648364.40043023
251,assam,2019,1,charaideo district,49174,75457156.83902974
252,assam,2019,1,darrang district,76056,137391656.7613904
253,assam,2019,1,kamrup metropolitan district,1306775,2605380335.9221573
254,assam,2019,1,hailakandi district,51401,76319460.13758466
255,assam,2019,1,barpeta district,262834,416977891.5222329
256,assam,2019,1,goalpara district,113947,191744923.215441
257,assam,2019,1,biswanath district,59752,91143579.39023894
